character_id,real_name,alias,universe,alignment,powers,first_appearance_year
1,Clark Kent,Superman,DC,Hero,Super strength; Heat vision; Flight; X-ray vision,1938
2,Bruce Wayne,Batman,DC,Hero,Peak human intelligence; Martial arts; Gadgets,1939
3,Diana Prince,Wonder Woman,DC,Hero,Super strength; Lasso of Truth; Flight,1941
4,Arthur Curry,Aquaman,DC,Hero,Underwater breathing; Telepathy with sea life; Super strength,1941
5,Barry Allen,The Flash,DC,Hero,Super speed; Time travel,1956
6,Hal Jordan,Green Lantern,DC,Hero,Power ring constructs; Flight; Energy projection,1959
7,Victor Stone,Cyborg,DC,Hero,Cybernetic enhancements; Technopathy; Super strength,1980
8,Billy Batson,Shazam,DC,Hero,Magic lightning; Super strength; Flight,1940
9,Harleen Quinzel,Harley Quinn,DC,Anti-Hero,Agility; Acrobatics; Psychological manipulation,1992
10,Unknown,Joker,DC,Villain,Criminal mastermind; Chemical expertise,1940